source_object_type	source_object	source_field	target_object_type	target_object	target_field	relationship	line_no	line_relation_seq	line_content	confidence
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	lv_has_data	VARIABLE_SET_MAP	29	0	    DECLARE lv_has_data                SMALLINT DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	ln_sqlcode	VARIABLE_SET_MAP	38	0	    DECLARE ln_sqlcode                 INT DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:0	VARIABLE	RPT.PR_TEST_DEMO	at_end	VARIABLE_SET_MAP	59	0	    DECLARE at_end                     SMALLINT DEFAULT 0;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE		CREATE_TABLE	64	0	    DECLARE GLOBAL TEMPORARY TABLE SESSION.TMP_STO_EVENT_SOURCE	REGEX
PROCEDURE	RPT.PR_TEST_DEMO		SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE		CREATE_TABLE	68	0	    DECLARE GLOBAL TEMPORARY TABLE SESSION.TMP_STO_EVENT_SOURCE	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:SQLEXCEPTION	PROCEDURE	RPT.PR_TEST_DEMO		EXCEPTION_HANDLER_MAP	96	0	    DECLARE EXIT HANDLER FOR SQLEXCEPTION	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:SQLCODE	VARIABLE	RPT.PR_TEST_DEMO	ln_sqlcode	DIAGNOSTICS_FETCH_MAP	98	0	        SET ln_sqlcode = SQLCODE;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:SQLSTATE	VARIABLE	RPT.PR_TEST_DEMO	lv_sqlstate	DIAGNOSTICS_FETCH_MAP	99	0	        SET lv_sqlstate = SQLSTATE;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:SQLEXCEPTION	PROCEDURE	RPT.PR_TEST_DEMO		EXCEPTION_HANDLER_MAP	100	0	    DECLARE EXIT HANDLER FOR SQLEXCEPTION	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:MESSAGE_TEXT	VARIABLE	RPT.PR_TEST_DEMO	lv_message_text	DIAGNOSTICS_FETCH_MAP	101	0	        GET DIAGNOSTICS EXCEPTION 1 lv_message_text = MESSAGE_TEXT;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:SQLCODE	VARIABLE	RPT.PR_TEST_DEMO	ln_sqlcode	DIAGNOSTICS_FETCH_MAP	102	0	        SET ln_sqlcode = SQLCODE;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:MESSAGE_TEXT	VARIABLE	RPT.PR_TEST_DEMO	lv_message_text	DIAGNOSTICS_FETCH_MAP	102	1	        GET DIAGNOSTICS EXCEPTION 1 lv_message_text = MESSAGE_TEXT;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:ROW_COUNT	VARIABLE	RPT.PR_TEST_DEMO	lv_row_count	DIAGNOSTICS_FETCH_MAP	102	2	        GET DIAGNOSTICS lv_row_count = ROW_COUNT;	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	lv_procedure_name	VARIABLE	RPT.PR_TEST_DEMO	lv_procedure_name	SELECT_EXPR	107	0	              lv_procedure_name || ' failed.'	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' failed.'	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	107	1	              lv_procedure_name || ' failed.'	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' failed.'	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	107	2	              lv_procedure_name || ' failed.'	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_procedure_name	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	107	3	              lv_procedure_name || ' failed.'	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Product Type: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	108	0	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_product_type	VARIABLE	RPT.PR_TEST_DEMO	p_product_type	SELECT_EXPR	108	1	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	108	2	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Product Type: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	108	3	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	108	4	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_product_type	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	108	5	           || ' Product Type: ' || COALESCE(p_product_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Deal Type: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	109	0	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_deal_type	VARIABLE	RPT.PR_TEST_DEMO	p_deal_type	SELECT_EXPR	109	1	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	109	2	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Deal Type: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	109	3	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	109	4	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_deal_type	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	109	5	           || ' Deal Type: '    || COALESCE(p_deal_type, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Err Pos: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	110	0	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_err_pos	VARIABLE	RPT.PR_TEST_DEMO	lv_err_pos	SELECT_EXPR	110	1	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	110	2	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Err Pos: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	110	3	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	110	4	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_err_pos	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	110	5	           || ' Err Pos: '      || COALESCE(lv_err_pos, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Message: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	111	0	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_message_text	VARIABLE	RPT.PR_TEST_DEMO	lv_message_text	SELECT_EXPR	111	1	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	111	2	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' Message: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	111	3	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	111	4	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_message_text	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	111	5	           || ' Message: '      || COALESCE(lv_message_text, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' SQLSTATE: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	112	0	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_sqlstate	VARIABLE	RPT.PR_TEST_DEMO	lv_sqlstate	SELECT_EXPR	112	1	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	112	2	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' SQLSTATE: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	112	3	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:''	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	112	4	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_sqlstate	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	112	5	           || ' SQLSTATE: '     || COALESCE(lv_sqlstate, '')	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' SQLCODE: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	113	0	           || ' SQLCODE: '      || CHAR(ln_sqlcode)	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	ln_sqlcode	VARIABLE	RPT.PR_TEST_DEMO	ln_sqlcode	SELECT_EXPR	113	1	           || ' SQLCODE: '      || CHAR(ln_sqlcode)	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' SQLCODE: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	113	2	           || ' SQLCODE: '      || CHAR(ln_sqlcode)	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	ln_sqlcode	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	113	3	           || ' SQLCODE: '      || CHAR(ln_sqlcode)	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' ROW_COUNT: '	UNKNOWN	UNKNOWN_SELECT_EXPR		SELECT_EXPR	114	0	           || ' ROW_COUNT: '    || CHAR(lv_row_count);	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_row_count	VARIABLE	RPT.PR_TEST_DEMO	lv_row_count	SELECT_EXPR	114	1	           || ' ROW_COUNT: '    || CHAR(lv_row_count);	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:' ROW_COUNT: '	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	114	2	           || ' ROW_COUNT: '    || CHAR(lv_row_count);	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_row_count	VARIABLE	RPT.PR_TEST_DEMO	lv_error_message	VARIABLE_SET_MAP	114	3	           || ' ROW_COUNT: '    || CHAR(lv_row_count);	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		PROCEDURE	TEMP.PR_PROCEDURE_LOG		CALL_PROCEDURE	116	0	        CALL TEMP.PR_PROCEDURE_LOG(	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_msg_category	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$1 	CALL_PARAM_MAP	117	0	            lv_msg_category,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_procedure_name	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$2 	CALL_PARAM_MAP	118	0	            lv_procedure_name,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'ERROR'	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$3 	CALL_PARAM_MAP	119	0	            'ERROR',	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_error_message	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$4 	CALL_PARAM_MAP	120	0	            lv_error_message	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:NOT FOUND	PROCEDURE	RPT.PR_TEST_DEMO		EXCEPTION_HANDLER_MAP	129	0	    DECLARE CONTINUE HANDLER FOR NOT FOUND	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:1	VARIABLE	RPT.PR_TEST_DEMO	at_end	VARIABLE_SET_MAP	130	0	        SET at_end = 1;	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:NOT FOUND	PROCEDURE	RPT.PR_TEST_DEMO		EXCEPTION_HANDLER_MAP	133	0	    DECLARE CONTINUE HANDLER FOR NOT FOUND	REGEX
PROCEDURE	RPT.PR_TEST_DEMO		CURSOR	c_event_detail		CURSOR_DEFINE	135	0	    DECLARE c_event_detail CURSOR FOR	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	CUSTOMER_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	CUSTOMER_NUMBER	SELECT_FIELD	136	0	        SELECT MAST.CUSTOMER_NUMBER,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SUB_ACCOUNT_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	SUB_ACCOUNT_NUMBER	SELECT_FIELD	137	0	               MAST.SUB_ACCOUNT_NUMBER,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	DEAL_NUMBER	SELECT_FIELD	138	0	               MAST.DEAL_NUMBER,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		CURSOR	c_event_detail		CURSOR_DEFINE	139	0	    DECLARE c_event_detail CURSOR FOR	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_SUB_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	DEAL_SUB_NUMBER	SELECT_FIELD	139	1	               MAST.DEAL_SUB_NUMBER,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EVENT_ID	TABLE	TEMP.TEST_EVENT_MASTER_P	EVENT_ID	SELECT_FIELD	140	0	               MAST.EVENT_ID,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SEQUENCE_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	SEQUENCE_NUMBER	SELECT_FIELD	141	0	               MAST.SEQUENCE_NUMBER,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	PREMIUM_AMOUNT	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	PREMIUM_AMOUNT	SELECT_FIELD	142	0	               SRC.PREMIUM_AMOUNT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SETTLEMENT_AMOUNT	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	SETTLEMENT_AMOUNT	SELECT_FIELD	143	0	               SRC.SETTLEMENT_AMOUNT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	TRADE_CCY	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	TRADE_CCY	SELECT_FIELD	144	0	               SRC.TRADE_CCY,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SETTLEMENT_CCY	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	SETTLEMENT_CCY	SELECT_FIELD	145	0	               SRC.SETTLEMENT_CCY,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	OPTION_STYLE	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	OPTION_STYLE	SELECT_FIELD	146	0	               SRC.OPTION_STYLE,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EXPIRY_DATE	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	EXPIRY_DATE	SELECT_FIELD	147	0	               SRC.EXPIRY_DATE,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EXERCISE_DATE	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	EXERCISE_DATE	SELECT_FIELD	148	0	               SRC.EXERCISE_DATE,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	KNOCK_IN_FLAG	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	KNOCK_IN_FLAG	SELECT_FIELD	149	0	               SRC.KNOCK_IN_FLAG,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	KNOCK_OUT_FLAG	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	KNOCK_OUT_FLAG	SELECT_FIELD	150	0	               SRC.KNOCK_OUT_FLAG	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CUSTOMER_NUMBER	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	CUSTOMER_NUMBER	JOIN_ON	153	0	            ON SRC.CUSTOMER_NUMBER    = MAST.CUSTOMER_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CUSTOMER_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	CUSTOMER_NUMBER	JOIN_ON	153	1	            ON SRC.CUSTOMER_NUMBER    = MAST.CUSTOMER_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SUB_ACCOUNT_NUMBER	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	SUB_ACCOUNT_NUMBER	JOIN_ON	154	0	           AND SRC.SUB_ACCOUNT_NUMBER = MAST.SUB_ACCOUNT_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	SUB_ACCOUNT_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	SUB_ACCOUNT_NUMBER	JOIN_ON	154	1	           AND SRC.SUB_ACCOUNT_NUMBER = MAST.SUB_ACCOUNT_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_NUMBER	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	DEAL_NUMBER	JOIN_ON	155	0	           AND SRC.DEAL_NUMBER        = MAST.DEAL_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	DEAL_NUMBER	JOIN_ON	155	1	           AND SRC.DEAL_NUMBER        = MAST.DEAL_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_SUB_NUMBER	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	DEAL_SUB_NUMBER	JOIN_ON	156	0	           AND SRC.DEAL_SUB_NUMBER    = MAST.DEAL_SUB_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_SUB_NUMBER	TABLE	TEMP.TEST_EVENT_MASTER_P	DEAL_SUB_NUMBER	JOIN_ON	156	1	           AND SRC.DEAL_SUB_NUMBER    = MAST.DEAL_SUB_NUMBER	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EVENT_ID	SESSION_TABLE	SESSION.TMP_STO_EVENT_SOURCE	EVENT_ID	JOIN_ON	157	0	           AND SRC.EVENT_ID           = MAST.EVENT_ID	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EVENT_ID	TABLE	TEMP.TEST_EVENT_MASTER_P	EVENT_ID	JOIN_ON	157	1	           AND SRC.EVENT_ID           = MAST.EVENT_ID	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	PRODUCT_TYPE	TABLE	TEMP.TEST_EVENT_MASTER_P	PRODUCT_TYPE	WHERE	158	0	         WHERE MAST.PRODUCT_TYPE      = p_product_type	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_product_type	VARIABLE	RPT.PR_TEST_DEMO	p_product_type	WHERE	158	1	         WHERE MAST.PRODUCT_TYPE      = p_product_type	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	DEAL_TYPE	TABLE	TEMP.TEST_EVENT_MASTER_P	DEAL_TYPE	WHERE	159	0	           AND MAST.DEAL_TYPE         = p_deal_type	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	p_deal_type	VARIABLE	RPT.PR_TEST_DEMO	p_deal_type	WHERE	159	1	           AND MAST.DEAL_TYPE         = p_deal_type	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CREATION_DATE	TABLE	TEMP.TEST_EVENT_MASTER_P	CREATION_DATE	WHERE	160	0	           AND MAST.CREATION_DATE     = ld_biz_date	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	ld_biz_date	VARIABLE	RPT.PR_TEST_DEMO	ld_biz_date	WHERE	160	1	           AND MAST.CREATION_DATE     = ld_biz_date	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	EVENT_ID	TABLE	TEMP.TEST_EVENT_MASTER_P	EVENT_ID	WHERE	161	0	           AND MAST.EVENT_ID LIKE 'OTC_STO_%';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'OTC_STO_%'	TABLE	TEMP.TEST_EVENT_MASTER_P	EVENT_ID	WHERE	161	1	           AND MAST.EVENT_ID LIKE 'OTC_STO_%';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		PROCEDURE	TEMP.PR_PROCEDURE_LOG		CALL_PROCEDURE	166	0	    CALL TEMP.PR_PROCEDURE_LOG(	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_msg_category	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$1 	CALL_PARAM_MAP	167	0	        lv_msg_category,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	lv_procedure_name	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$2 	CALL_PARAM_MAP	168	0	        lv_procedure_name,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'INFO'	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$3 	CALL_PARAM_MAP	169	0	        'INFO',	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'Start CALL RPT.PR_TEST_DEMO()'	PROCEDURE	TEMP.PR_PROCEDURE_LOG	$4 	CALL_PARAM_MAP	170	0	        'Start CALL RPT.PR_TEST_DEMO()'	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	CONSTANT:'Position: Get business date and control parameters'	VARIABLE	RPT.PR_TEST_DEMO	lv_err_pos	VARIABLE_SET_MAP	176	0	    SET lv_err_pos = 'Position: Get business date and control parameters';	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		TABLE	TEMP.SYS_WHERE		SELECT_TABLE	178	0	    SELECT BIZ_DT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	BIZ_DT	TABLE	TEMP.SYS_WHERE	BIZ_DT	SELECT_FIELD	178	1	    SELECT BIZ_DT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	PREV_BIZ_DT	TABLE	TEMP.SYS_WHERE	PREV_BIZ_DT	SELECT_FIELD	179	0	           PREV_BIZ_DT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	NEXT_BIZ_DT	TABLE	TEMP.SYS_WHERE	NEXT_BIZ_DT	SELECT_FIELD	180	0	           NEXT_BIZ_DT,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	MONTH_FLAG	TABLE	TEMP.SYS_WHERE	MONTH_FLAG	SELECT_FIELD	181	0	           MONTH_FLAG,	PARSER
PROCEDURE	RPT.PR_TEST_DEMO	REGION_CD	TABLE	TEMP.SYS_WHERE	REGION_CD	SELECT_FIELD	182	0	           REGION_CD	PARSER
PROCEDURE	RPT.PR_TEST_DEMO		TABLE	TEMP.SYS_WHERE		SELECT_TABLE	188	0	      FROM TEMP.SYS_WHERE	REGEX
PROCEDURE	RPT.PR_TEST_DEMO	SYS_CD	TABLE	TEMP.SYS_WHERE	SYS_CD	WHERE	189	0	     WHERE SYS_CD = 'FOS';	PARSER
